week_start_date,vegetable,location,month,week_of_year,fuel_price,price,temp,rainfall
1/5/2024,green beans,badulla,1,1,358,,22.29,17.19
1/5/2024,green beans,colombo,1,1,358,630,27.41,8.41
1/5/2024,green beans,dambulla,1,1,358,550,25.54,7.39
1/5/2024,green beans,galle,1,1,358,790,27.17,7.14
1/5/2024,green beans,gampaha,1,1,358,700,26.81,12.39
1/5/2024,green beans,jaffna,1,1,358,425,26.41,2.26
1/5/2024,green beans,kaluthara,1,1,358,580,27.17,7.14
1/5/2024,green beans,kandy,1,1,358,620,22.29,18.47
1/5/2024,green beans,meegoda,1,1,358,670,27.17,7.14
1/5/2024,green beans,monaragala,1,1,358,620,25.71,19.89
1/5/2024,green beans,nuwaraeliya,1,1,358,670,15.29,11.69
1/5/2024,green beans,ratnapura,1,1,358,,25.43,10.87
1/5/2024,ladies fingers,ampara,1,1,358,320,26.29,31.24
1/5/2024,ladies fingers,anuradhapura,1,1,358,300,25.54,7.39
1/5/2024,ladies fingers,badulla,1,1,358,,22.29,17.19
1/5/2024,ladies fingers,colombo,1,1,358,335,27.41,8.41
1/5/2024,ladies fingers,dambulla,1,1,358,280,25.54,7.39
1/5/2024,ladies fingers,galle,1,1,358,330,27.17,7.14
1/5/2024,ladies fingers,gampaha,1,1,358,360,26.81,12.39
1/5/2024,ladies fingers,jaffna,1,1,358,385,26.41,2.26
1/5/2024,ladies fingers,kaluthara,1,1,358,340,27.17,7.14
1/5/2024,ladies fingers,kandy,1,1,358,380,22.29,18.47
1/5/2024,ladies fingers,meegoda,1,1,358,310,27.17,7.14
1/5/2024,ladies fingers,monaragala,1,1,358,260,25.71,19.89
1/5/2024,ladies fingers,nuwaraeliya,1,1,358,290,15.29,11.69
1/5/2024,ladies fingers,ratnapura,1,1,358,,25.43,10.87
1/5/2024,leeks,ampara,1,1,358,480,26.29,31.24
1/5/2024,leeks,anuradhapura,1,1,358,500,25.54,7.39
1/5/2024,leeks,badulla,1,1,358,,22.29,17.19
1/5/2024,leeks,colombo,1,1,358,540,27.41,8.41
1/5/2024,leeks,dambulla,1,1,358,580,25.54,7.39
1/5/2024,leeks,galle,1,1,358,550,27.17,7.14
1/5/2024,leeks,gampaha,1,1,358,440,26.81,12.39
1/5/2024,leeks,jaffna,1,1,358,370,26.41,2.26
1/5/2024,leeks,kaluthara,1,1,358,410,27.17,7.14
1/5/2024,leeks,kandy,1,1,358,420,22.29,18.47
1/5/2024,leeks,meegoda,1,1,358,500,27.17,7.14
1/5/2024,leeks,monaragala,1,1,358,540,25.71,19.89
1/5/2024,leeks,nuwaraeliya,1,1,358,370,15.29,11.69
1/5/2024,leeks,ratnapura,1,1,358,,25.43,10.87
1/5/2024,luffa,ampara,1,1,358,400,26.29,31.24
1/5/2024,luffa,anuradhapura,1,1,358,460,25.54,7.39
1/5/2024,luffa,badulla,1,1,358,,22.29,17.19
1/5/2024,luffa,colombo,1,1,358,450,27.41,8.41
1/5/2024,luffa,dambulla,1,1,358,390,25.54,7.39
1/5/2024,luffa,galle,1,1,358,600,27.17,7.14
1/5/2024,luffa,gampaha,1,1,358,520,26.81,12.39
1/5/2024,luffa,jaffna,1,1,358,,26.41,2.26
1/5/2024,luffa,kaluthara,1,1,358,520,27.17,7.14
1/5/2024,luffa,kandy,1,1,358,500,22.29,18.47
1/5/2024,luffa,meegoda,1,1,358,440,27.17,7.14
1/5/2024,luffa,monaragala,1,1,358,560,25.71,19.89
1/5/2024,luffa,nuwaraeliya,1,1,358,390,15.29,11.69
1/5/2024,luffa,ratnapura,1,1,358,,25.43,10.87
1/5/2024,pumpkin,ampara,1,1,358,240,26.29,31.24
1/5/2024,pumpkin,anuradhapura,1,1,358,240,25.54,7.39
1/5/2024,pumpkin,badulla,1,1,358,,22.29,17.19
1/5/2024,pumpkin,colombo,1,1,358,260,27.41,8.41
1/5/2024,pumpkin,dambulla,1,1,358,210,25.54,7.39
1/5/2024,pumpkin,galle,1,1,358,220,27.17,7.14
1/5/2024,pumpkin,gampaha,1,1,358,260,26.81,12.39
1/5/2024,pumpkin,jaffna,1,1,358,125,26.41,2.26
1/5/2024,pumpkin,kaluthara,1,1,358,200,27.17,7.14
1/5/2024,pumpkin,kandy,1,1,358,170,22.29,18.47
1/5/2024,pumpkin,meegoda,1,1,358,210,27.17,7.14
1/5/2024,pumpkin,monaragala,1,1,358,280,25.71,19.89
1/5/2024,pumpkin,nuwaraeliya,1,1,358,230,15.29,11.69
1/5/2024,pumpkin,ratnapura,1,1,358,,25.43,10.87
1/5/2024,snake gourd,ampara,1,1,358,400,26.29,31.24
1/5/2024,snake gourd,anuradhapura,1,1,358,330,25.54,7.39
1/5/2024,snake gourd,badulla,1,1,358,,22.29,17.19
1/5/2024,snake gourd,colombo,1,1,358,365,27.41,8.41
1/5/2024,snake gourd,dambulla,1,1,358,390,25.54,7.39
1/5/2024,snake gourd,galle,1,1,358,430,27.17,7.14
1/5/2024,snake gourd,gampaha,1,1,358,400,26.81,12.39
1/5/2024,snake gourd,jaffna,1,1,358,252.5,26.41,2.26
1/5/2024,snake gourd,kaluthara,1,1,358,340,27.17,7.14
1/5/2024,snake gourd,kandy,1,1,358,260,22.29,18.47
1/5/2024,snake gourd,meegoda,1,1,358,300,27.17,7.14
1/5/2024,snake gourd,monaragala,1,1,358,360,25.71,19.89
1/5/2024,snake gourd,nuwaraeliya,1,1,358,290,15.29,11.69
1/5/2024,snake gourd,ratnapura,1,1,358,,25.43,10.87
1/5/2024,tomato,ampara,1,1,358,660,26.29,31.24
1/5/2024,tomato,anuradhapura,1,1,358,540,25.54,7.39
1/5/2024,tomato,badulla,1,1,358,,22.29,17.19
1/5/2024,tomato,colombo,1,1,358,740,27.41,8.41
1/5/2024,tomato,dambulla,1,1,358,440,25.54,7.39
1/5/2024,tomato,galle,1,1,358,580,27.17,7.14
1/5/2024,tomato,gampaha,1,1,358,620,26.81,12.39
1/5/2024,tomato,jaffna,1,1,358,505,26.41,2.26
1/5/2024,tomato,kaluthara,1,1,358,580,27.17,7.14
1/5/2024,tomato,kandy,1,1,358,550,22.29,18.47
1/5/2024,tomato,meegoda,1,1,358,460,27.17,7.14
1/5/2024,tomato,monaragala,1,1,358,540,25.71,19.89
1/5/2024,tomato,nuwaraeliya,1,1,358,500,15.29,11.69
1/5/2024,tomato,ratnapura,1,1,358,,25.43,10.87
1/12/2024,beet root,ampara,1,2,358,,26,1.5
1/12/2024,beet root,anuradhapura,1,2,358,950,25.77,0.33
1/12/2024,beet root,badulla,1,2,358,,21.71,0.46
1/12/2024,beet root,colombo,1,2,358,725,27.39,0.1
1/12/2024,beet root,dambulla,1,2,358,810,25.77,0.33
1/12/2024,beet root,galle,1,2,358,1050,27.71,0.13
1/12/2024,beet root,gampaha,1,2,358,900,26.8,0.17
1/12/2024,beet root,jaffna,1,2,358,825,26,0.51
1/12/2024,beet root,kaluthara,1,2,358,800,27.71,0.13
1/12/2024,beet root,kandy,1,2,358,775,21.43,0.39
1/12/2024,beet root,meegoda,1,2,358,780,27.71,0.13
1/12/2024,beet root,monaragala,1,2,358,850,25.57,0.53
1/12/2024,beet root,nuwaraeliya,1,2,358,850,14.43,0.16
1/12/2024,beet root,ratnapura,1,2,358,,25.43,0.17
1/12/2024,brinjal,ampara,1,2,358,630,26,1.5
1/12/2024,brinjal,anuradhapura,1,2,358,610,25.77,0.33
1/12/2024,brinjal,badulla,1,2,358,,21.71,0.46
1/12/2024,brinjal,colombo,1,2,358,700,27.39,0.1
1/12/2024,brinjal,dambulla,1,2,358,675,25.77,0.33
1/12/2024,brinjal,galle,1,2,358,850,27.71,0.13
1/12/2024,brinjal,gampaha,1,2,358,760,26.8,0.17
1/12/2024,brinjal,jaffna,1,2,358,915,26,0.51
1/12/2024,brinjal,kaluthara,1,2,358,700,27.71,0.13
1/12/2024,brinjal,kandy,1,2,358,725,21.43,0.39
1/12/2024,brinjal,meegoda,1,2,358,605,27.71,0.13
1/12/2024,brinjal,monaragala,1,2,358,560,25.57,0.53
1/12/2024,brinjal,nuwaraeliya,1,2,358,600,14.43,0.16
1/12/2024,brinjal,ratnapura,1,2,358,,25.43,0.17
1/12/2024,cabbage,ampara,1,2,358,790,26,1.5
1/12/2024,cabbage,anuradhapura,1,2,358,700,25.77,0.33
1/12/2024,cabbage,badulla,1,2,358,,21.71,0.46
1/12/2024,cabbage,colombo,1,2,358,675,27.39,0.1
1/12/2024,cabbage,dambulla,1,2,358,840,25.77,0.33
1/12/2024,cabbage,galle,1,2,358,850,27.71,0.13
1/12/2024,cabbage,gampaha,1,2,358,800,26.8,0.17
1/12/2024,cabbage,jaffna,1,2,358,820,26,0.51
1/12/2024,cabbage,kaluthara,1,2,358,780,27.71,0.13
1/12/2024,cabbage,kandy,1,2,358,675,21.43,0.39
1/12/2024,cabbage,meegoda,1,2,358,815,27.71,0.13
1/12/2024,cabbage,monaragala,1,2,358,800,25.57,0.53
1/12/2024,cabbage,nuwaraeliya,1,2,358,825,14.43,0.16
1/12/2024,cabbage,ratnapura,1,2,358,,25.43,0.17
1/12/2024,carrot,ampara,1,2,358,1600,26,1.5
1/12/2024,carrot,anuradhapura,1,2,358,1950,25.77,0.33
1/12/2024,carrot,badulla,1,2,358,,21.71,0.46
1/12/2024,carrot,colombo,1,2,358,850,27.39,0.1
1/12/2024,carrot,dambulla,1,2,358,1900,25.77,0.33
1/12/2024,carrot,galle,1,2,358,1700,27.71,0.13
1/12/2024,carrot,gampaha,1,2,358,2000,26.8,0.17
1/12/2024,carrot,jaffna,1,2,358,1900,26,0.51
1/12/2024,carrot,kaluthara,1,2,358,1640,27.71,0.13
1/12/2024,carrot,kandy,1,2,358,1750,21.43,0.39
1/12/2024,carrot,meegoda,1,2,358,2300,27.71,0.13
1/12/2024,carrot,monaragala,1,2,358,1800,25.57,0.53
1/12/2024,carrot,nuwaraeliya,1,2,358,1950,14.43,0.16
1/12/2024,carrot,ratnapura,1,2,358,,25.43,0.17
1/12/2024,cucumber,ampara,1,2,358,260,26,1.5
1/12/2024,cucumber,anuradhapura,1,2,358,210,25.77,0.33
1/12/2024,cucumber,badulla,1,2,358,,21.71,0.46
1/12/2024,cucumber,colombo,1,2,358,230,27.39,0.1
1/12/2024,cucumber,dambulla,1,2,358,200,25.77,0.33
1/12/2024,cucumber,galle,1,2,358,220,27.71,0.13
1/12/2024,cucumber,gampaha,1,2,358,240,26.8,0.17
1/12/2024,cucumber,jaffna,1,2,358,160,26,0.51
1/12/2024,cucumber,kaluthara,1,2,358,200,27.71,0.13
1/12/2024,cucumber,kandy,1,2,358,170,21.43,0.39
1/12/2024,cucumber,meegoda,1,2,358,160,27.71,0.13
1/12/2024,cucumber,monaragala,1,2,358,270,25.57,0.53
1/12/2024,cucumber,nuwaraeliya,1,2,358,255,14.43,0.16
1/12/2024,cucumber,ratnapura,1,2,358,,25.43,0.17
1/12/2024,green beans,ampara,1,2,358,1400,26,1.5
1/12/2024,green beans,anuradhapura,1,2,358,1300,25.77,0.33
1/12/2024,green beans,badulla,1,2,358,,21.71,0.46
1/12/2024,green beans,colombo,1,2,358,630,27.39,0.1
1/12/2024,green beans,dambulla,1,2,358,1150,25.77,0.33
1/12/2024,green beans,galle,1,2,358,1500,27.71,0.13
1/12/2024,green beans,gampaha,1,2,358,1100,26.8,0.17
1/12/2024,green beans,jaffna,1,2,358,665,26,0.51
1/12/2024,green beans,kaluthara,1,2,358,1220,27.71,0.13
1/12/2024,green beans,kandy,1,2,358,1250,21.43,0.39
1/12/2024,green beans,meegoda,1,2,358,1450,27.71,0.13
1/12/2024,green beans,monaragala,1,2,358,1100,25.57,0.53
1/12/2024,green beans,nuwaraeliya,1,2,358,1350,14.43,0.16
1/12/2024,green beans,ratnapura,1,2,358,,25.43,0.17
1/12/2024,ladies fingers,ampara,1,2,358,400,26,1.5
1/12/2024,ladies fingers,anuradhapura,1,2,358,420,25.77,0.33
1/12/2024,ladies fingers,badulla,1,2,358,,21.71,0.46
1/12/2024,ladies fingers,colombo,1,2,358,335,27.39,0.1
1/12/2024,ladies fingers,dambulla,1,2,358,460,25.77,0.33
1/12/2024,ladies fingers,galle,1,2,358,380,27.71,0.13
1/12/2024,ladies fingers,gampaha,1,2,358,540,26.8,0.17
1/12/2024,ladies fingers,jaffna,1,2,358,410,26,0.51
1/12/2024,ladies fingers,kaluthara,1,2,358,400,27.71,0.13
1/12/2024,ladies fingers,kandy,1,2,358,465,21.43,0.39
1/12/2024,ladies fingers,meegoda,1,2,358,440,27.71,0.13
1/12/2024,ladies fingers,monaragala,1,2,358,360,25.57,0.53
1/12/2024,ladies fingers,nuwaraeliya,1,2,358,430,14.43,0.16
1/12/2024,ladies fingers,ratnapura,1,2,358,,25.43,0.17
1/12/2024,leeks,ampara,1,2,358,670,26,1.5
1/12/2024,leeks,anuradhapura,1,2,358,700,25.77,0.33
1/12/2024,leeks,badulla,1,2,358,,21.71,0.46
1/12/2024,leeks,colombo,1,2,358,540,27.39,0.1
1/12/2024,leeks,dambulla,1,2,358,620,25.77,0.33
1/12/2024,leeks,galle,1,2,358,650,27.71,0.13
1/12/2024,leeks,gampaha,1,2,358,600,26.8,0.17
1/12/2024,leeks,jaffna,1,2,358,635,26,0.51
1/12/2024,leeks,kaluthara,1,2,358,620,27.71,0.13
1/12/2024,leeks,kandy,1,2,358,625,21.43,0.39
1/12/2024,leeks,meegoda,1,2,358,740,27.71,0.13
1/12/2024,leeks,monaragala,1,2,358,650,25.57,0.53
1/12/2024,leeks,nuwaraeliya,1,2,358,650,14.43,0.16
1/12/2024,leeks,ratnapura,1,2,358,,25.43,0.17
1/12/2024,luffa,ampara,1,2,358,500,26,1.5
1/12/2024,luffa,anuradhapura,1,2,358,540,25.77,0.33
1/12/2024,luffa,badulla,1,2,358,,21.71,0.46
1/12/2024,luffa,colombo,1,2,358,450,27.39,0.1
1/12/2024,luffa,dambulla,1,2,358,530,25.77,0.33
1/12/2024,luffa,galle,1,2,358,600,27.71,0.13
1/12/2024,luffa,gampaha,1,2,358,520,26.8,0.17
1/12/2024,luffa,jaffna,1,2,358,,26,0.51
1/12/2024,luffa,kaluthara,1,2,358,540,27.71,0.13
1/12/2024,luffa,kandy,1,2,358,500,21.43,0.39
1/12/2024,luffa,meegoda,1,2,358,505,27.71,0.13
1/12/2024,luffa,monaragala,1,2,358,620,25.57,0.53
1/12/2024,luffa,nuwaraeliya,1,2,358,490,14.43,0.16
1/12/2024,luffa,ratnapura,1,2,358,,25.43,0.17
1/12/2024,pumpkin,ampara,1,2,358,230,26,1.5
1/12/2024,pumpkin,anuradhapura,1,2,358,290,25.77,0.33
1/12/2024,pumpkin,badulla,1,2,358,,21.71,0.46
1/12/2024,pumpkin,colombo,1,2,358,260,27.39,0.1
1/12/2024,pumpkin,dambulla,1,2,358,220,25.77,0.33
1/12/2024,pumpkin,galle,1,2,358,220,27.71,0.13
1/12/2024,pumpkin,gampaha,1,2,358,280,26.8,0.17
1/12/2024,pumpkin,jaffna,1,2,358,145,26,0.51
1/12/2024,pumpkin,kaluthara,1,2,358,200,27.71,0.13
1/12/2024,pumpkin,kandy,1,2,358,250,21.43,0.39
1/12/2024,pumpkin,meegoda,1,2,358,200,27.71,0.13
1/12/2024,pumpkin,monaragala,1,2,358,330,25.57,0.53
1/12/2024,pumpkin,nuwaraeliya,1,2,358,270,14.43,0.16
1/12/2024,pumpkin,ratnapura,1,2,358,,25.43,0.17
1/12/2024,snake gourd,ampara,1,2,358,420,26,1.5
1/12/2024,snake gourd,anuradhapura,1,2,358,400,25.77,0.33
1/12/2024,snake gourd,badulla,1,2,358,,21.71,0.46
1/12/2024,snake gourd,colombo,1,2,358,365,27.39,0.1
1/12/2024,snake gourd,dambulla,1,2,358,380,25.77,0.33
1/12/2024,snake gourd,galle,1,2,358,390,27.71,0.13
1/12/2024,snake gourd,gampaha,1,2,358,480,26.8,0.17
1/12/2024,snake gourd,jaffna,1,2,358,285,26,0.51
1/12/2024,snake gourd,kaluthara,1,2,358,370,27.71,0.13
1/12/2024,snake gourd,kandy,1,2,358,310,21.43,0.39
1/12/2024,snake gourd,meegoda,1,2,358,445,27.71,0.13
1/12/2024,snake gourd,monaragala,1,2,358,430,25.57,0.53
1/12/2024,snake gourd,nuwaraeliya,1,2,358,390,14.43,0.16
1/12/2024,snake gourd,ratnapura,1,2,358,,25.43,0.17
1/12/2024,tomato,ampara,1,2,358,750,26,1.5
1/12/2024,tomato,anuradhapura,1,2,358,700,25.77,0.33
1/12/2024,tomato,badulla,1,2,358,,21.71,0.46
1/12/2024,tomato,colombo,1,2,358,740,27.39,0.1
1/12/2024,tomato,dambulla,1,2,358,540,25.77,0.33
1/12/2024,tomato,galle,1,2,358,800,27.71,0.13
1/12/2024,tomato,gampaha,1,2,358,700,26.8,0.17
1/12/2024,tomato,jaffna,1,2,358,620,26,0.51
1/12/2024,tomato,kaluthara,1,2,358,700,27.71,0.13
1/12/2024,tomato,kandy,1,2,358,575,21.43,0.39
1/12/2024,tomato,meegoda,1,2,358,560,27.71,0.13
1/12/2024,tomato,monaragala,1,2,358,700,25.57,0.53
1/12/2024,tomato,nuwaraeliya,1,2,358,465,14.43,0.16
1/12/2024,tomato,ratnapura,1,2,358,,25.43,0.17
1/19/2024,beet root,ampara,1,3,358,,26.57,2.59
1/19/2024,beet root,anuradhapura,1,3,358,770,26.17,0.63
1/19/2024,beet root,badulla,1,3,358,900,22.43,1.1
1/19/2024,beet root,colombo,1,3,358,1020,28.49,2.76
1/19/2024,beet root,dambulla,1,3,358,790,26.17,0.63
1/19/2024,beet root,galle,1,3,358,830,28.44,2.07
1/19/2024,beet root,gampaha,1,3,358,800,27.53,1.81
1/19/2024,beet root,jaffna,1,3,358,625,26.5,0.09
1/19/2024,beet root,kaluthara,1,3,358,760,28.44,2.07
1/19/2024,beet root,kandy,1,3,358,775,22.29,1.29
1/19/2024,beet root,meegoda,1,3,358,750,28.44,2.07
1/19/2024,beet root,monaragala,1,3,358,760,26.29,0.7
1/19/2024,beet root,nuwaraeliya,1,3,358,765,15,1.06
1/19/2024,beet root,ratnapura,1,3,358,805,26.29,2.17
1/19/2024,brinjal,ampara,1,3,358,780,26.57,2.59
1/19/2024,brinjal,anuradhapura,1,3,358,540,26.17,0.63
1/19/2024,brinjal,badulla,1,3,358,560,22.43,1.1
1/19/2024,brinjal,colombo,1,3,358,700,28.49,2.76
1/19/2024,brinjal,dambulla,1,3,358,700,26.17,0.63
1/19/2024,brinjal,galle,1,3,358,690,28.44,2.07
1/19/2024,brinjal,gampaha,1,3,358,720,27.53,1.81
1/19/2024,brinjal,jaffna,1,3,358,715,26.5,0.09
1/19/2024,brinjal,kaluthara,1,3,358,680,28.44,2.07
1/19/2024,brinjal,kandy,1,3,358,775,22.29,1.29
1/19/2024,brinjal,meegoda,1,3,358,690,28.44,2.07
1/19/2024,brinjal,monaragala,1,3,358,560,26.29,0.7
1/19/2024,brinjal,nuwaraeliya,1,3,358,630,15,1.06
1/19/2024,brinjal,ratnapura,1,3,358,680,26.29,2.17
1/19/2024,cabbage,ampara,1,3,358,750,26.57,2.59
1/19/2024,cabbage,anuradhapura,1,3,358,700,26.17,0.63
1/19/2024,cabbage,badulla,1,3,358,610,22.43,1.1
1/19/2024,cabbage,colombo,1,3,358,800,28.49,2.76
1/19/2024,cabbage,dambulla,1,3,358,580,26.17,0.63
1/19/2024,cabbage,galle,1,3,358,775,28.44,2.07
1/19/2024,cabbage,gampaha,1,3,358,700,27.53,1.81
1/19/2024,cabbage,jaffna,1,3,358,615,26.5,0.09
1/19/2024,cabbage,kaluthara,1,3,358,670,28.44,2.07
1/19/2024,cabbage,kandy,1,3,358,625,22.29,1.29
1/19/2024,cabbage,meegoda,1,3,358,720,28.44,2.07
1/19/2024,cabbage,monaragala,1,3,358,660,26.29,0.7
1/19/2024,cabbage,nuwaraeliya,1,3,358,610,15,1.06
1/19/2024,cabbage,ratnapura,1,3,358,690,26.29,2.17
1/19/2024,carrot,ampara,1,3,358,1450,26.57,2.59
1/19/2024,carrot,anuradhapura,1,3,358,1350,26.17,0.63
1/19/2024,carrot,badulla,1,3,358,950,22.43,1.1
1/19/2024,carrot,colombo,1,3,358,1250,28.49,2.76
1/19/2024,carrot,dambulla,1,3,358,1350,26.17,0.63
1/19/2024,carrot,galle,1,3,358,1300,28.44,2.07
1/19/2024,carrot,gampaha,1,3,358,950,27.53,1.81
1/19/2024,carrot,jaffna,1,3,358,1730,26.5,0.09
1/19/2024,carrot,kaluthara,1,3,358,1340,28.44,2.07
1/19/2024,carrot,kandy,1,3,358,1550,22.29,1.29
1/19/2024,carrot,meegoda,1,3,358,1500,28.44,2.07
1/19/2024,carrot,monaragala,1,3,358,1100,26.29,0.7
1/19/2024,carrot,nuwaraeliya,1,3,358,1275,15,1.06
1/19/2024,carrot,ratnapura,1,3,358,1390,26.29,2.17
1/19/2024,cucumber,ampara,1,3,358,250,26.57,2.59
1/19/2024,cucumber,anuradhapura,1,3,358,200,26.17,0.63
1/19/2024,cucumber,badulla,1,3,358,220,22.43,1.1
1/19/2024,cucumber,colombo,1,3,358,190,28.49,2.76
1/19/2024,cucumber,dambulla,1,3,358,190,26.17,0.63
1/19/2024,cucumber,galle,1,3,358,180,28.44,2.07
1/19/2024,cucumber,gampaha,1,3,358,180,27.53,1.81
1/19/2024,cucumber,jaffna,1,3,358,135,26.5,0.09
1/19/2024,cucumber,kaluthara,1,3,358,210,28.44,2.07
1/19/2024,cucumber,kandy,1,3,358,170,22.29,1.29
1/19/2024,cucumber,meegoda,1,3,358,140,28.44,2.07
1/19/2024,cucumber,monaragala,1,3,358,250,26.29,0.7
1/19/2024,cucumber,nuwaraeliya,1,3,358,250,15,1.06
1/19/2024,cucumber,ratnapura,1,3,358,195,26.29,2.17
1/19/2024,green beans,ampara,1,3,358,890,26.57,2.59
1/19/2024,green beans,anuradhapura,1,3,358,950,26.17,0.63
1/19/2024,green beans,badulla,1,3,358,1250,22.43,1.1
1/19/2024,green beans,colombo,1,3,358,900,28.49,2.76
1/19/2024,green beans,dambulla,1,3,358,850,26.17,0.63
1/19/2024,green beans,galle,1,3,358,1000,28.44,2.07
1/19/2024,green beans,gampaha,1,3,358,825,27.53,1.81
1/19/2024,green beans,jaffna,1,3,358,610,26.5,0.09
1/19/2024,green beans,kaluthara,1,3,358,940,28.44,2.07
1/19/2024,green beans,kandy,1,3,358,950,22.29,1.29
1/19/2024,green beans,meegoda,1,3,358,900,28.44,2.07
1/19/2024,green beans,monaragala,1,3,358,900,26.29,0.7
1/19/2024,green beans,nuwaraeliya,1,3,358,880,15,1.06
1/19/2024,green beans,ratnapura,1,3,358,835,26.29,2.17
1/19/2024,ladies fingers,ampara,1,3,358,480,26.57,2.59
1/19/2024,ladies fingers,anuradhapura,1,3,358,480,26.17,0.63
1/19/2024,ladies fingers,badulla,1,3,358,460,22.43,1.1
1/19/2024,ladies fingers,colombo,1,3,358,470,28.49,2.76
